AccessCategoryID,CategoryName,Description,AccessLevel,IsActive,CreatedBy,CreatedDate,LastUpdatedBy,LastUpdatedDate,WebsiteURL
32,VIP Customers,"Exclusive access for VIP customers and high-spending clients",Exclusive,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/vip-customers
33,Internal Users,"Access limited to internal users within the organization",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
34,Preferred Members,"Access restricted to preferred members and loyal customers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/preferred-members
35,Content Subscribers,"Access for subscribers to premium content and newsletters",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-subscribers
36,Event Attendees,"Access limited to attendees of exclusive events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
37,Forum Members,"Access for registered members of discussion forums",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/forum-members
38,Early Access Users,"Access for users granted early access to new features and products",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/early-access
39,Beta Testers,"Access restricted to participants in beta testing programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/beta-testers
40,Event Speakers,"Access limited to speakers and presenters at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
41,Training Participants,"Access for participants in training sessions and workshops",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/training-participants
42,Community Leaders,"Access restricted to community leaders and moderators",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/community-leaders
43,Advertisers,"Access for advertisers and sponsors of the website",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/advertisers
44,Brand Ambassadors,"Access limited to brand ambassadors and advocates",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/brand-ambassadors
45,Product Testers,"Access restricted to participants in product testing programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/product-testers
46,Student Members,"Access for student members and educational institutions",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/student-members
47,Referral Program Participants,"Access limited to participants in referral programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/referral-program
48,Industry Professionals,"Access restricted to industry professionals and experts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/industry-professionals
49,Subscription Managers,"Access for subscription managers and administrators",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/subscription-managers
50,Content Editors,"Access limited to content editors and publishers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
51,Content Contributors,"Access for contributors of user-generated content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-contributors
52,Review Writers,"Access limited to writers of product reviews and testimonials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/review-writers
53,Product Owners,"Access restricted to owners of registered products",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/product-owners
54,Verified Users,"Access for verified users with confirmed identities",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-users
55,Event Organizers,"Access limited to organizers of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-organizers
56,Program Participants,"Access restricted to participants in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-participants
57,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
58,Internal Staff,"Access limited to internal staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-staff
59,Verified Buyers,"Access restricted to buyers with verified purchase history",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-buyers
60,Event Registrants,"Access limited to registered attendees of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-registrants
61,Content Reviewers,"Access restricted to reviewers of submitted content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-reviewers
62,Program Managers,"Access for managers and administrators of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
63,Content Moderators,"Access limited to moderators of user-generated content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
64,Internal Administrators,"Access restricted to internal administrators",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
65,Verified Reviewers,"Access for reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
66,Event Speakers,"Access limited to speakers at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
67,Content Creators,"Access for creators of original content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-creators
68,Program Coordinators,"Access restricted to coordinators of programs and initiatives",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-coordinators
69,Content Editors,"Access limited to editors of published content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
70,Internal Developers,"Access restricted to internal development team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-developers
71,Verified Participants,"Access limited to participants with verified qualifications",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
72,Event Sponsors,"Access restricted to sponsors of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
73,Content Publishers,"Access for publishers of approved content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
74,Program Advisors,"Access limited to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
75,Content Analysts,"Access restricted to analysts and researchers of content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
76,Internal Testers,"Access for internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
77,Event Attendees,"Access limited to attendees of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
78,Content Managers,"Access restricted to managers of content and publications",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-managers
79,Program Leaders,"Access limited to leaders and directors of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-leaders
80,Content Designers,"Access restricted to designers and creators of content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-designers
81,Internal Auditors,"Access limited to internal auditors and compliance officers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-auditors
82,Verified Subscribers,"Access restricted to subscribers with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-subscribers
83,Verified Participants,"Access limited to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
84,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
85,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
86,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
87,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
88,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
89,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
90,Event Sponsors,"Access for sponsors and supporters of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
91,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
92,Program Advisors,"Access restricted to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
93,Content Analysts,"Access for analysts and researchers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
94,Internal Testers,"Access limited to internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
95,Event Volunteers,"Access for volunteers assisting at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-volunteers
96,Content Curators,"Access restricted to curators and collectors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-curators
97,Program Members,"Access limited to members enrolled in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-members
98,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
99,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
100,Verified Customers,"Access restricted to customers with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-customers
101,Event Attendees,"Access for attendees of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
102,Content Editors,"Access limited to editors and moderators of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
103,Program Coordinators,"Access restricted to coordinators and administrators of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-coordinators
104,Content Managers,"Access for managers and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-managers
105,Internal Developers,"Access limited to internal development team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-developers
106,Verified Participants,"Access restricted to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
107,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
108,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
109,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
110,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
111,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
112,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
113,Event Sponsors,"Access for sponsors and supporters of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
114,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
115,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
116,Verified Participants,"Access limited to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
117,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
118,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
119,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
120,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
121,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
122,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
123,Event Sponsors,"Access for sponsors and supporters of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
124,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
125,Program Advisors,"Access restricted to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
126,Content Analysts,"Access for analysts and researchers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
127,Internal Testers,"Access limited to internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
128,Event Volunteers,"Access for volunteers assisting at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-volunteers
129,Content Curators,"Access restricted to curators and collectors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-curators
130,Program Members,"Access limited to members enrolled in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-members
131,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
132,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
133,Verified Customers,"Access restricted to customers with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-customers
134,Event Attendees,"Access for attendees of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
135,Content Editors,"Access limited to editors and moderators of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
136,Program Coordinators,"Access restricted to coordinators and administrators of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-coordinators
137,Content Managers,"Access for managers and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-managers
138,Internal Developers,"Access limited to internal development team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-developers
139,Verified Participants,"Access restricted to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
140,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
141,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
142,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
143,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
144,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
145,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
146,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
147,Program Advisors,"Access restricted to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
148,Content Analysts,"Access for analysts and researchers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
149,Internal Testers,"Access limited to internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
150,Event Volunteers,"Access for volunteers assisting at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-volunteers
151,Content Curators,"Access restricted to curators and collectors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-curators
152,Program Members,"Access limited to members enrolled in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-members
153,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
154,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
155,Verified Customers,"Access restricted to customers with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-customers
156,Event Attendees,"Access for attendees of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
157,Content Editors,"Access limited to editors and moderators of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
158,Program Coordinators,"Access restricted to coordinators and administrators of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-coordinators
159,Content Managers,"Access for managers and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-managers
160,Internal Developers,"Access limited to internal development team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-developers
161,Verified Participants,"Access restricted to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
162,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
163,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
164,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
165,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
166,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
167,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
168,Event Sponsors,"Access for sponsors and supporters of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
169,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
170,Program Advisors,"Access restricted to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
171,Content Analysts,"Access for analysts and researchers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
172,Internal Testers,"Access limited to internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
173,Event Volunteers,"Access for volunteers assisting at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-volunteers
174,Content Curators,"Access restricted to curators and collectors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-curators
175,Program Members,"Access limited to members enrolled in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-members
176,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
177,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
178,Verified Customers,"Access restricted to customers with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-customers
179,Event Attendees,"Access for attendees of events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-attendees
180,Content Editors,"Access limited to editors and moderators of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-editors
181,Program Coordinators,"Access restricted to coordinators and administrators of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-coordinators
182,Content Managers,"Access for managers and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-managers
183,Internal Developers,"Access limited to internal development team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-developers
184,Verified Participants,"Access restricted to participants with verified accounts",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-participants
185,Event Speakers,"Access for speakers and presenters at events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-speakers
186,Content Writers,"Access limited to writers and contributors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-writers
187,Program Managers,"Access restricted to managers and leaders of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-managers
188,Content Moderators,"Access for moderators and overseers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-moderators
189,Internal Administrators,"Access limited to internal administrators and supervisors",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-administrators
190,Verified Reviewers,"Access restricted to reviewers with verified credentials",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/verified-reviewers
191,Event Sponsors,"Access for sponsors and supporters of events",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-sponsors
192,Content Publishers,"Access limited to publishers and authors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-publishers
193,Program Advisors,"Access restricted to advisors and consultants of programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-advisors
194,Content Analysts,"Access for analysts and researchers of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-analysts
195,Internal Testers,"Access limited to internal users participating in testing",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-testers
196,Event Volunteers,"Access for volunteers assisting at events and conferences",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/event-volunteers
197,Content Curators,"Access restricted to curators and collectors of website content",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-curators
198,Program Members,"Access limited to members enrolled in specific programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/program-members
199,Content Submitters,"Access for users submitting content for publication",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-submitters
200,Internal Users,"Access limited to internal users and staff members",Internal,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/internal-users
